"Provider","Category","Sku","Tier","Region","RegionDisplay","Available"
"Microsoft.ApiManagement","Integration","Developer",,"austriaeast","Austria East","yes"
"Microsoft.ApiManagement","Integration","Developer",,"belgiumcentral","Belgium Central","yes"
"Microsoft.ApiManagement","Integration","Developer",,"denmarkeast","Denmark East","yes"
"Microsoft.ApiManagement","Integration","Developer",,"francecentral","France Central","yes"
"Microsoft.ApiManagement","Integration","Developer",,"francesouth","France South","yes"
"Microsoft.ApiManagement","Integration","Developer",,"germanynorth","Germany North","yes"
"Microsoft.ApiManagement","Integration","Developer",,"germanywestcentral","Germany West Central","yes"
"Microsoft.ApiManagement","Integration","Developer",,"italynorth","Italy North","yes"
"Microsoft.ApiManagement","Integration","Developer",,"northeurope","North Europe","yes"
"Microsoft.ApiManagement","Integration","Developer",,"norwayeast","Norway East","yes"
"Microsoft.ApiManagement","Integration","Developer",,"norwaywest","Norway West","yes"
"Microsoft.ApiManagement","Integration","Developer",,"polandcentral","Poland Central","yes"
"Microsoft.ApiManagement","Integration","Developer",,"spaincentral","Spain Central","yes"
"Microsoft.ApiManagement","Integration","Developer",,"swedencentral","Sweden Central","yes"
"Microsoft.ApiManagement","Integration","Developer",,"switzerlandnorth","Switzerland North","yes"
"Microsoft.ApiManagement","Integration","Developer",,"switzerlandwest","Switzerland West","yes"
"Microsoft.ApiManagement","Integration","Developer",,"westeurope","West Europe","yes"
"Microsoft.ApiManagement","Integration","Isolated",,"austriaeast","Austria East","no"
"Microsoft.ApiManagement","Integration","Isolated",,"belgiumcentral","Belgium Central","no"
"Microsoft.ApiManagement","Integration","Isolated",,"denmarkeast","Denmark East","no"
"Microsoft.ApiManagement","Integration","Isolated",,"francecentral","France Central","no"
"Microsoft.ApiManagement","Integration","Isolated",,"francesouth","France South","no"
"Microsoft.ApiManagement","Integration","Isolated",,"germanynorth","Germany North","no"
"Microsoft.ApiManagement","Integration","Isolated",,"germanywestcentral","Germany West Central","no"
"Microsoft.ApiManagement","Integration","Isolated",,"italynorth","Italy North","no"
"Microsoft.ApiManagement","Integration","Isolated",,"northeurope","North Europe","no"
"Microsoft.ApiManagement","Integration","Isolated",,"norwayeast","Norway East","no"
"Microsoft.ApiManagement","Integration","Isolated",,"norwaywest","Norway West","no"
"Microsoft.ApiManagement","Integration","Isolated",,"polandcentral","Poland Central","no"
"Microsoft.ApiManagement","Integration","Isolated",,"spaincentral","Spain Central","no"
"Microsoft.ApiManagement","Integration","Isolated",,"swedencentral","Sweden Central","no"
"Microsoft.ApiManagement","Integration","Isolated",,"switzerlandnorth","Switzerland North","no"
"Microsoft.ApiManagement","Integration","Isolated",,"switzerlandwest","Switzerland West","no"
"Microsoft.ApiManagement","Integration","Isolated",,"westeurope","West Europe","no"
"Microsoft.ApiManagement","Integration","Premium",,"austriaeast","Austria East","yes"
"Microsoft.ApiManagement","Integration","Premium",,"belgiumcentral","Belgium Central","yes"
"Microsoft.ApiManagement","Integration","Premium",,"denmarkeast","Denmark East","yes"
"Microsoft.ApiManagement","Integration","Premium",,"francecentral","France Central","yes"
"Microsoft.ApiManagement","Integration","Premium",,"francesouth","France South","yes"
"Microsoft.ApiManagement","Integration","Premium",,"germanynorth","Germany North","yes"
"Microsoft.ApiManagement","Integration","Premium",,"germanywestcentral","Germany West Central","yes"
"Microsoft.ApiManagement","Integration","Premium",,"italynorth","Italy North","yes"
"Microsoft.ApiManagement","Integration","Premium",,"northeurope","North Europe","yes"
"Microsoft.ApiManagement","Integration","Premium",,"norwayeast","Norway East","yes"
"Microsoft.ApiManagement","Integration","Premium",,"norwaywest","Norway West","yes"
"Microsoft.ApiManagement","Integration","Premium",,"polandcentral","Poland Central","yes"
"Microsoft.ApiManagement","Integration","Premium",,"spaincentral","Spain Central","yes"
"Microsoft.ApiManagement","Integration","Premium",,"swedencentral","Sweden Central","yes"
"Microsoft.ApiManagement","Integration","Premium",,"switzerlandnorth","Switzerland North","yes"
"Microsoft.ApiManagement","Integration","Premium",,"switzerlandwest","Switzerland West","yes"
"Microsoft.ApiManagement","Integration","Premium",,"westeurope","West Europe","yes"
"Microsoft.ApiManagement","Integration","PremiumV2",,"austriaeast","Austria East","no"
"Microsoft.ApiManagement","Integration","PremiumV2",,"belgiumcentral","Belgium Central","no"
"Microsoft.ApiManagement","Integration","PremiumV2",,"denmarkeast","Denmark East","no"
"Microsoft.ApiManagement","Integration","PremiumV2",,"francecentral","France Central","no"
"Microsoft.ApiManagement","Integration","PremiumV2",,"francesouth","France South","no"
"Microsoft.ApiManagement","Integration","PremiumV2",,"germanynorth","Germany North","no"
"Microsoft.ApiManagement","Integration","PremiumV2",,"germanywestcentral","Germany West Central","yes"
"Microsoft.ApiManagement","Integration","PremiumV2",,"italynorth","Italy North","yes"
"Microsoft.ApiManagement","Integration","PremiumV2",,"northeurope","North Europe","no"
"Microsoft.ApiManagement","Integration","PremiumV2",,"norwayeast","Norway East","yes"
"Microsoft.ApiManagement","Integration","PremiumV2",,"norwaywest","Norway West","no"
"Microsoft.ApiManagement","Integration","PremiumV2",,"polandcentral","Poland Central","no"
"Microsoft.ApiManagement","Integration","PremiumV2",,"spaincentral","Spain Central","no"
"Microsoft.ApiManagement","Integration","PremiumV2",,"swedencentral","Sweden Central","yes"
"Microsoft.ApiManagement","Integration","PremiumV2",,"switzerlandnorth","Switzerland North","no"
"Microsoft.ApiManagement","Integration","PremiumV2",,"switzerlandwest","Switzerland West","no"
"Microsoft.ApiManagement","Integration","PremiumV2",,"westeurope","West Europe","no"
"Microsoft.ApiManagement","Integration","Standard",,"austriaeast","Austria East","yes"
"Microsoft.ApiManagement","Integration","Standard",,"belgiumcentral","Belgium Central","yes"
"Microsoft.ApiManagement","Integration","Standard",,"denmarkeast","Denmark East","yes"
"Microsoft.ApiManagement","Integration","Standard",,"francecentral","France Central","yes"
"Microsoft.ApiManagement","Integration","Standard",,"francesouth","France South","yes"
"Microsoft.ApiManagement","Integration","Standard",,"germanynorth","Germany North","yes"
"Microsoft.ApiManagement","Integration","Standard",,"germanywestcentral","Germany West Central","yes"
"Microsoft.ApiManagement","Integration","Standard",,"italynorth","Italy North","yes"
"Microsoft.ApiManagement","Integration","Standard",,"northeurope","North Europe","yes"
"Microsoft.ApiManagement","Integration","Standard",,"norwayeast","Norway East","yes"
"Microsoft.ApiManagement","Integration","Standard",,"norwaywest","Norway West","yes"
"Microsoft.ApiManagement","Integration","Standard",,"polandcentral","Poland Central","yes"
"Microsoft.ApiManagement","Integration","Standard",,"spaincentral","Spain Central","yes"
"Microsoft.ApiManagement","Integration","Standard",,"swedencentral","Sweden Central","yes"
"Microsoft.ApiManagement","Integration","Standard",,"switzerlandnorth","Switzerland North","yes"
"Microsoft.ApiManagement","Integration","Standard",,"switzerlandwest","Switzerland West","yes"
"Microsoft.ApiManagement","Integration","Standard",,"westeurope","West Europe","yes"
"Microsoft.ApiManagement","Integration","StandardV2",,"austriaeast","Austria East","no"
"Microsoft.ApiManagement","Integration","StandardV2",,"belgiumcentral","Belgium Central","no"
"Microsoft.ApiManagement","Integration","StandardV2",,"denmarkeast","Denmark East","no"
"Microsoft.ApiManagement","Integration","StandardV2",,"francecentral","France Central","yes"
"Microsoft.ApiManagement","Integration","StandardV2",,"francesouth","France South","no"
"Microsoft.ApiManagement","Integration","StandardV2",,"germanynorth","Germany North","no"
"Microsoft.ApiManagement","Integration","StandardV2",,"germanywestcentral","Germany West Central","yes"
"Microsoft.ApiManagement","Integration","StandardV2",,"italynorth","Italy North","yes"
"Microsoft.ApiManagement","Integration","StandardV2",,"northeurope","North Europe","yes"
"Microsoft.ApiManagement","Integration","StandardV2",,"norwayeast","Norway East","yes"
"Microsoft.ApiManagement","Integration","StandardV2",,"norwaywest","Norway West","no"
"Microsoft.ApiManagement","Integration","StandardV2",,"polandcentral","Poland Central","no"
"Microsoft.ApiManagement","Integration","StandardV2",,"spaincentral","Spain Central","yes"
"Microsoft.ApiManagement","Integration","StandardV2",,"swedencentral","Sweden Central","yes"
"Microsoft.ApiManagement","Integration","StandardV2",,"switzerlandnorth","Switzerland North","yes"
"Microsoft.ApiManagement","Integration","StandardV2",,"switzerlandwest","Switzerland West","no"
"Microsoft.ApiManagement","Integration","StandardV2",,"westeurope","West Europe","yes"
"Microsoft.Compute","Compute","Aligned",,"austriaeast","Austria East","yes"
"Microsoft.Compute","Compute","Aligned",,"belgiumcentral","Belgium Central","yes"
"Microsoft.Compute","Compute","Aligned",,"denmarkeast","Denmark East","yes"
"Microsoft.Compute","Compute","Aligned",,"francecentral","France Central","yes"
"Microsoft.Compute","Compute","Aligned",,"francesouth","France South","yes"
"Microsoft.Compute","Compute","Aligned",,"germanynorth","Germany North","yes"
"Microsoft.Compute","Compute","Aligned",,"germanywestcentral","Germany West Central","yes"
"Microsoft.Compute","Compute","Aligned",,"italynorth","Italy North","yes"
"Microsoft.Compute","Compute","Aligned",,"northeurope","North Europe","yes"
"Microsoft.Compute","Compute","Aligned",,"norwayeast","Norway East","yes"
"Microsoft.Compute","Compute","Aligned",,"norwaywest","Norway West","yes"
"Microsoft.Compute","Compute","Aligned",,"polandcentral","Poland Central","yes"
"Microsoft.Compute","Compute","Aligned",,"spaincentral","Spain Central","yes"
"Microsoft.Compute","Compute","Aligned",,"swedencentral","Sweden Central","yes"
"Microsoft.Compute","Compute","Aligned",,"switzerlandnorth","Switzerland North","yes"
"Microsoft.Compute","Compute","Aligned",,"switzerlandwest","Switzerland West","yes"
"Microsoft.Compute","Compute","Aligned",,"westeurope","West Europe","yes"
"Microsoft.Compute","Compute","Classic",,"austriaeast","Austria East","yes"
"Microsoft.Compute","Compute","Classic",,"belgiumcentral","Belgium Central","yes"
"Microsoft.Compute","Compute","Classic",,"denmarkeast","Denmark East","yes"
"Microsoft.Compute","Compute","Classic",,"francecentral","France Central","yes"
"Microsoft.Compute","Compute","Classic",,"francesouth","France South","yes"
"Microsoft.Compute","Compute","Classic",,"germanynorth","Germany North","yes"
"Microsoft.Compute","Compute","Classic",,"germanywestcentral","Germany West Central","yes"
"Microsoft.Compute","Compute","Classic",,"italynorth","Italy North","yes"
"Microsoft.Compute","Compute","Classic",,"northeurope","North Europe","yes"
"Microsoft.Compute","Compute","Classic",,"norwayeast","Norway East","yes"
"Microsoft.Compute","Compute","Classic",,"norwaywest","Norway West","yes"
"Microsoft.Compute","Compute","Classic",,"polandcentral","Poland Central","yes"
"Microsoft.Compute","Compute","Classic",,"spaincentral","Spain Central","yes"
"Microsoft.Compute","Compute","Classic",,"swedencentral","Sweden Central","yes"
"Microsoft.Compute","Compute","Classic",,"switzerlandnorth","Switzerland North","yes"
"Microsoft.Compute","Compute","Classic",,"switzerlandwest","Switzerland West","yes"
"Microsoft.Compute","Compute","Classic",,"westeurope","West Europe","yes"
"Microsoft.Compute","Compute","DADSv5-Type1",,"austriaeast","Austria East","yes"
"Microsoft.Compute","Compute","DADSv5-Type1",,"belgiumcentral","Belgium Central","yes"
"Microsoft.Compute","Compute","DADSv5-Type1",,"denmarkeast","Denmark East","yes"
"Microsoft.Compute","Compute","DADSv5-Type1",,"francecentral","France Central","yes"
"Microsoft.Compute","Compute","DADSv5-Type1",,"francesouth","France South","yes"
"Microsoft.Compute","Compute","DADSv5-Type1",,"germanynorth","Germany North","yes"
"Microsoft.Compute","Compute","DADSv5-Type1",,"germanywestcentral","Germany West Central","yes"
"Microsoft.Compute","Compute","DADSv5-Type1",,"italynorth","Italy North","yes"
"Microsoft.Compute","Compute","DADSv5-Type1",,"northeurope","North Europe","yes"
"Microsoft.Compute","Compute","DADSv5-Type1",,"norwayeast","Norway East","yes"
"Microsoft.Compute","Compute","DADSv5-Type1",,"norwaywest","Norway West","yes"
"Microsoft.Compute","Compute","DADSv5-Type1",,"polandcentral","Poland Central","yes"
"Microsoft.Compute","Compute","DADSv5-Type1",,"spaincentral","Spain Central","yes"
"Microsoft.Compute","Compute","DADSv5-Type1",,"swedencentral","Sweden Central","yes"
"Microsoft.Compute","Compute","DADSv5-Type1",,"switzerlandnorth","Switzerland North","yes"
"Microsoft.Compute","Compute","DADSv5-Type1",,"switzerlandwest","Switzerland West","yes"
"Microsoft.Compute","Compute","DADSv5-Type1",,"westeurope","West Europe","yes"
"Microsoft.Compute","Compute","DASv4-Type1",,"austriaeast","Austria East","no"
"Microsoft.Compute","Compute","DASv4-Type1",,"belgiumcentral","Belgium Central","no"
"Microsoft.Compute","Compute","DASv4-Type1",,"denmarkeast","Denmark East","no"
"Microsoft.Compute","Compute","DASv4-Type1",,"francecentral","France Central","yes"
"Microsoft.Compute","Compute","DASv4-Type1",,"francesouth","France South","no"
"Microsoft.Compute","Compute","DASv4-Type1",,"germanynorth","Germany North","no"
"Microsoft.Compute","Compute","DASv4-Type1",,"germanywestcentral","Germany West Central","no"
"Microsoft.Compute","Compute","DASv4-Type1",,"italynorth","Italy North","no"
"Microsoft.Compute","Compute","DASv4-Type1",,"northeurope","North Europe","yes"
"Microsoft.Compute","Compute","DASv4-Type1",,"norwayeast","Norway East","no"
"Microsoft.Compute","Compute","DASv4-Type1",,"norwaywest","Norway West","no"
"Microsoft.Compute","Compute","DASv4-Type1",,"polandcentral","Poland Central","no"
"Microsoft.Compute","Compute","DASv4-Type1",,"spaincentral","Spain Central","no"
"Microsoft.Compute","Compute","DASv4-Type1",,"swedencentral","Sweden Central","yes"
"Microsoft.Compute","Compute","DASv4-Type1",,"switzerlandnorth","Switzerland North","no"
"Microsoft.Compute","Compute","DASv4-Type1",,"switzerlandwest","Switzerland West","no"
"Microsoft.Compute","Compute","DASv4-Type1",,"westeurope","West Europe","yes"
"Microsoft.Compute","Compute","DASv4-Type2",,"austriaeast","Austria East","yes"
"Microsoft.Compute","Compute","DASv4-Type2",,"belgiumcentral","Belgium Central","yes"
"Microsoft.Compute","Compute","DASv4-Type2",,"denmarkeast","Denmark East","yes"
"Microsoft.Compute","Compute","DASv4-Type2",,"francecentral","France Central","yes"
"Microsoft.Compute","Compute","DASv4-Type2",,"francesouth","France South","yes"
"Microsoft.Compute","Compute","DASv4-Type2",,"germanynorth","Germany North","yes"
"Microsoft.Compute","Compute","DASv4-Type2",,"germanywestcentral","Germany West Central","yes"
"Microsoft.Compute","Compute","DASv4-Type2",,"italynorth","Italy North","yes"
"Microsoft.Compute","Compute","DASv4-Type2",,"northeurope","North Europe","yes"
"Microsoft.Compute","Compute","DASv4-Type2",,"norwayeast","Norway East","yes"
"Microsoft.Compute","Compute","DASv4-Type2",,"norwaywest","Norway West","yes"
"Microsoft.Compute","Compute","DASv4-Type2",,"polandcentral","Poland Central","yes"
"Microsoft.Compute","Compute","DASv4-Type2",,"spaincentral","Spain Central","yes"
"Microsoft.Compute","Compute","DASv4-Type2",,"swedencentral","Sweden Central","yes"
"Microsoft.Compute","Compute","DASv4-Type2",,"switzerlandnorth","Switzerland North","yes"
"Microsoft.Compute","Compute","DASv4-Type2",,"switzerlandwest","Switzerland West","yes"
"Microsoft.Compute","Compute","DASv4-Type2",,"westeurope","West Europe","yes"
"Microsoft.Compute","Compute","DASv5-Type1",,"austriaeast","Austria East","yes"
"Microsoft.Compute","Compute","DASv5-Type1",,"belgiumcentral","Belgium Central","yes"
"Microsoft.Compute","Compute","DASv5-Type1",,"denmarkeast","Denmark East","yes"
"Microsoft.Compute","Compute","DASv5-Type1",,"francecentral","France Central","yes"
"Microsoft.Compute","Compute","DASv5-Type1",,"francesouth","France South","yes"
"Microsoft.Compute","Compute","DASv5-Type1",,"germanynorth","Germany North","yes"
"Microsoft.Compute","Compute","DASv5-Type1",,"germanywestcentral","Germany West Central","yes"
"Microsoft.Compute","Compute","DASv5-Type1",,"italynorth","Italy North","yes"
"Microsoft.Compute","Compute","DASv5-Type1",,"northeurope","North Europe","yes"
"Microsoft.Compute","Compute","DASv5-Type1",,"norwayeast","Norway East","yes"
"Microsoft.Compute","Compute","DASv5-Type1",,"norwaywest","Norway West","yes"
"Microsoft.Compute","Compute","DASv5-Type1",,"polandcentral","Poland Central","yes"
"Microsoft.Compute","Compute","DASv5-Type1",,"spaincentral","Spain Central","yes"
"Microsoft.Compute","Compute","DASv5-Type1",,"swedencentral","Sweden Central","yes"
"Microsoft.Compute","Compute","DASv5-Type1",,"switzerlandnorth","Switzerland North","yes"
"Microsoft.Compute","Compute","DASv5-Type1",,"switzerlandwest","Switzerland West","yes"
"Microsoft.Compute","Compute","DASv5-Type1",,"westeurope","West Europe","yes"
"Microsoft.Compute","Compute","Dasv6_Type1",,"austriaeast","Austria East","yes"
"Microsoft.Compute","Compute","Dasv6_Type1",,"belgiumcentral","Belgium Central","yes"
"Microsoft.Compute","Compute","Dasv6_Type1",,"denmarkeast","Denmark East","no"
"Microsoft.Compute","Compute","Dasv6_Type1",,"francecentral","France Central","yes"
"Microsoft.Compute","Compute","Dasv6_Type1",,"francesouth","France South","yes"
"Microsoft.Compute","Compute","Dasv6_Type1",,"germanynorth","Germany North","yes"
"Microsoft.Compute","Compute","Dasv6_Type1",,"germanywestcentral","Germany West Central","yes"
"Microsoft.Compute","Compute","Dasv6_Type1",,"italynorth","Italy North","yes"
"Microsoft.Compute","Compute","Dasv6_Type1",,"northeurope","North Europe","yes"
"Microsoft.Compute","Compute","Dasv6_Type1",,"norwayeast","Norway East","yes"
"Microsoft.Compute","Compute","Dasv6_Type1",,"norwaywest","Norway West","yes"
"Microsoft.Compute","Compute","Dasv6_Type1",,"polandcentral","Poland Central","yes"
"Microsoft.Compute","Compute","Dasv6_Type1",,"spaincentral","Spain Central","yes"
"Microsoft.Compute","Compute","Dasv6_Type1",,"swedencentral","Sweden Central","yes"
"Microsoft.Compute","Compute","Dasv6_Type1",,"switzerlandnorth","Switzerland North","yes"
"Microsoft.Compute","Compute","Dasv6_Type1",,"switzerlandwest","Switzerland West","yes"
"Microsoft.Compute","Compute","Dasv6_Type1",,"westeurope","West Europe","yes"
"Microsoft.Compute","Compute","DCadsv5-Type1",,"austriaeast","Austria East","no"
"Microsoft.Compute","Compute","DCadsv5-Type1",,"belgiumcentral","Belgium Central","no"
"Microsoft.Compute","Compute","DCadsv5-Type1",,"denmarkeast","Denmark East","no"
"Microsoft.Compute","Compute","DCadsv5-Type1",,"francecentral","France Central","no"
"Microsoft.Compute","Compute","DCadsv5-Type1",,"francesouth","France South","no"
"Microsoft.Compute","Compute","DCadsv5-Type1",,"germanynorth","Germany North","no"
"Microsoft.Compute","Compute","DCadsv5-Type1",,"germanywestcentral","Germany West Central","yes"
"Microsoft.Compute","Compute","DCadsv5-Type1",,"italynorth","Italy North","yes"
