"Namespace","Registration","ResourceTypes","Global","Austria East","Belgium Central","Denmark East","France Central","France South","Germany North","Germany West Central","Italy North","North Europe","Norway East","Norway West","Poland Central","Spain Central","Sweden Central","Switzerland North","Switzerland West","West Europe"
"Microsoft.AzureStackHCI","NotRegistered","53","False","no","no","no","no","no","no","yes","no","yes","no","no","no","no","no","no","no","yes"
"Microsoft.AzureTerraform","NotRegistered","3","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Microsoft.BackupSolutions","NotRegistered","4","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes"
"Microsoft.BareMetal","NotRegistered","9","False","no","yes","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"Microsoft.BareMetalInfrastructure","NotRegistered","5","False","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no"
"Microsoft.Batch","NotRegistered","18","False","yes","yes","yes","yes","no","no","yes","yes","yes","yes","no","yes","yes","yes","yes","no","yes"
"Microsoft.Billing","Registered","220","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Microsoft.BillingBenefits","NotRegistered","27","False","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","yes"
"Microsoft.BillingTrust","NotRegistered","5","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.Bing","NotRegistered","8","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes"
"Microsoft.BlockchainTokens","NotRegistered","1","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.Blueprint","Registered","8","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Microsoft.BotService","Registered","14","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes"
"Microsoft.Cache","Registered","23","False","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"Microsoft.Capacity","NotRegistered","35","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.Carbon","NotRegistered","3","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Microsoft.Cdn","Registered","65","False","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","yes"
"Microsoft.CertificateRegistration","NotRegistered","4","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.ChangeSafety","Registered","16","False","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no"
"Microsoft.Chaos","NotRegistered","10","False","no","no","no","yes","no","no","yes","yes","yes","no","no","no","no","yes","no","no","yes"
"Microsoft.CleanRoom","NotRegistered","7","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.CloudDevicePlatform","NotRegistered","1","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Microsoft.CloudHealth","NotRegistered","9","False","no","no","no","no","no","no","yes","yes","yes","yes","no","no","no","yes","yes","no","no"
"Microsoft.CloudShell","NotRegistered","1","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Microsoft.CloudTest","NotRegistered","8","False","no","yes","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"Microsoft.CodeSigning","NotRegistered","7","False","no","no","no","no","no","no","no","no","yes","no","no","yes","no","no","yes","no","yes"
"Microsoft.CognitiveServices","Registered","38","False","no","no","no","yes","no","no","yes","yes","yes","yes","no","yes","yes","yes","yes","yes","yes"
"Microsoft.Commerce","Registered","3","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Microsoft.Communication","NotRegistered","14","False","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","yes"
"Microsoft.Compute","Registered","90","False","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"Microsoft.ComputeBulkActions","NotRegistered","14","False","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"Microsoft.ComputeLimit","NotRegistered","9","False","yes","yes","yes","yes","no","no","yes","yes","yes","yes","no","yes","yes","yes","yes","no","yes"
"Microsoft.ComputeSchedule","NotRegistered","17","False","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"Microsoft.ConfidentialLedger","NotRegistered","6","False","no","no","no","no","no","no","yes","yes","no","no","no","no","no","yes","no","no","yes"
"Microsoft.Confluent","NotRegistered","17","False","no","no","no","yes","no","no","yes","yes","yes","yes","no","no","yes","yes","yes","no","yes"
"Microsoft.ConnectedCache","NotRegistered","10","False","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no"
"Microsoft.ConnectedCredentials","NotRegistered","4","False","no","no","no","yes","no","no","no","no","yes","yes","no","no","no","no","yes","no","yes"
"microsoft.connectedopenstack","NotRegistered","3","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes"
"Microsoft.ConnectedVehicle","NotRegistered","5","False","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","yes"
"Microsoft.ConnectedVMwarevSphere","NotRegistered","16","False","no","no","no","no","no","no","no","yes","yes","no","no","no","no","yes","yes","yes","yes"
"Microsoft.Consumption","Registered","25","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Microsoft.ContainerInstance","Registered","16","False","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"Microsoft.ContainerRegistry","Registered","46","False","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"Microsoft.ContainerService","Registered","33","False","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"Microsoft.CostManagement","Registered","41","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Microsoft.CostManagementExports","NotRegistered","1","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Microsoft.CustomerLockbox","NotRegistered","5","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Microsoft.CustomProviders","Registered","8","False","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","yes"
"Microsoft.D365CustomerInsights","NotRegistered","1","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Microsoft.Dashboard","NotRegistered","13","False","no","no","no","yes","no","no","yes","yes","yes","yes","no","no","yes","yes","yes","no","yes"
"Microsoft.DatabaseFleetManager","NotRegistered","1","False","no","no","no","yes","no","no","yes","no","yes","yes","no","no","no","yes","yes","yes","yes"
"Microsoft.DatabaseWatcher","NotRegistered","8","False","no","no","no","no","no","no","yes","no","yes","no","no","no","no","yes","no","no","yes"
"Microsoft.DataBox","NotRegistered","10","False","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","yes","no","yes"
"Microsoft.DataBoxEdge","NotRegistered","4","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes"
"Microsoft.Databricks","Registered","8","False","no","no","no","yes","no","no","yes","no","yes","yes","no","no","no","yes","yes","yes","yes"
"Microsoft.Datadog","NotRegistered","19","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.DataFactory","Registered","8","False","yes","yes","yes","yes","yes","no","yes","yes","yes","yes","no","yes","yes","yes","yes","yes","yes"
