"Namespace","Registration","ResourceTypes","Global","Central US","Central US (Stage)","Central US EUAP","East US","East US (Stage)","East US 2","East US 2 (Stage)","East US 2 EUAP","East US STG","North Central US","North Central US (Stage)","South Central US","South Central US (Stage)","South Central US STG","West Central US","West US","West US (Stage)","West US 2","West US 2 (Stage)","West US 3"
"Microsoft.DatabaseWatcher","NotRegistered","8","False","yes","no","no","yes","no","yes","no","no","no","yes","no","no","no","no","no","yes","no","no","no","no"
"Microsoft.DataBox","NotRegistered","10","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no"
"Microsoft.DataBoxEdge","NotRegistered","4","False","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.Databricks","Registered","8","False","yes","no","no","yes","no","yes","no","no","no","yes","no","yes","no","no","yes","yes","no","yes","no","yes"
"Microsoft.Datadog","NotRegistered","19","False","no","no","yes","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","yes","no","no"
"Microsoft.DataFactory","Registered","8","False","yes","no","no","yes","no","yes","no","no","no","yes","no","yes","no","no","yes","yes","no","yes","no","yes"
"Microsoft.DataLakeAnalytics","Registered","13","False","yes","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.DataLakeStore","Registered","7","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Microsoft.DataMigration","Registered","13","False","yes","no","yes","yes","no","yes","no","yes","no","yes","no","yes","no","no","yes","yes","no","yes","no","yes"
"Microsoft.DataProtection","Registered","15","False","yes","no","no","yes","no","yes","no","no","no","yes","no","yes","no","no","yes","yes","no","yes","no","yes"
"Microsoft.DataReplication","NotRegistered","6","False","yes","no","no","yes","no","no","no","no","no","no","no","no","no","no","yes","no","no","yes","no","no"
"Microsoft.DataShare","NotRegistered","18","False","yes","no","no","yes","no","yes","no","no","no","no","no","yes","no","no","yes","yes","no","yes","no","no"
"Microsoft.DBforMariaDB","Registered","30","False","yes","no","no","yes","no","yes","no","no","no","yes","no","yes","no","no","yes","yes","no","yes","no","yes"
"Microsoft.DBforMySQL","Registered","42","False","yes","no","yes","yes","no","yes","no","yes","no","yes","no","yes","no","no","yes","yes","no","yes","no","yes"
"Microsoft.DBforPostgreSQL","Registered","43","False","yes","no","yes","yes","no","yes","no","yes","no","yes","no","yes","no","no","yes","yes","no","yes","no","yes"
"Microsoft.DependencyMap","NotRegistered","5","False","yes","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","yes","no","yes","no","no"
"Microsoft.DesktopVirtualization","Registered","16","False","yes","no","no","yes","no","yes","no","no","no","yes","no","yes","no","no","yes","yes","no","yes","no","yes"
"Microsoft.DevCenter","NotRegistered","38","False","yes","no","no","yes","no","yes","no","no","no","no","no","yes","no","no","no","no","no","yes","no","yes"
"Microsoft.DevelopmentWindows365","NotRegistered","1","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Microsoft.DevHub","NotRegistered","9","False","yes","no","no","yes","no","yes","no","no","no","yes","no","yes","no","no","yes","yes","no","yes","no","yes"
"Microsoft.DeviceOnboarding","NotRegistered","1","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.DeviceRegistry","NotRegistered","19","False","no","no","no","yes","no","yes","no","no","no","no","no","yes","no","no","no","yes","no","yes","no","yes"
"Microsoft.Devices","Registered","14","False","yes","no","yes","yes","no","yes","no","yes","no","yes","no","yes","no","no","yes","yes","no","yes","no","yes"
"Microsoft.DeviceUpdate","NotRegistered","10","False","no","no","no","yes","no","yes","no","no","no","no","no","yes","no","no","no","no","no","yes","no","yes"
"Microsoft.DevOpsInfrastructure","NotRegistered","13","False","yes","no","no","yes","no","yes","no","no","no","yes","no","yes","no","no","yes","yes","no","yes","no","yes"
"Microsoft.DevTestLab","Registered","8","False","yes","no","no","yes","no","yes","no","no","no","yes","no","yes","no","no","yes","yes","no","yes","no","yes"
"Microsoft.Diagnostics","Registered","8","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Microsoft.DigitalTwins","NotRegistered","9","False","no","no","no","yes","no","yes","no","no","no","no","no","yes","no","no","yes","no","no","yes","no","yes"
"Microsoft.DirectoryStore","NotRegistered","3","False","no","no","no","yes","no","yes","no","no","no","no","no","no","no","no","no","yes","no","yes","no","no"
"Microsoft.Discovery","NotRegistered","4","False","no","no","no","yes","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.DocumentDB","Registered","23","False","yes","no","yes","yes","no","yes","no","yes","no","yes","no","yes","no","no","yes","yes","no","yes","no","yes"
"Microsoft.DomainRegistration","NotRegistered","8","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.DurableTask","NotRegistered","9","False","yes","no","no","no","no","yes","no","no","no","yes","no","no","no","no","no","yes","no","yes","no","yes"
"Microsoft.Easm","NotRegistered","4","False","yes","no","no","yes","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","yes"
"Microsoft.Edge","NotRegistered","49","False","yes","no","no","yes","no","yes","no","no","no","yes","no","yes","no","no","yes","yes","no","yes","no","yes"
"Microsoft.EdgeMarketplace","NotRegistered","5","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no"
"Microsoft.EdgeOrder","NotRegistered","19","False","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.EdgeOrderPartner","NotRegistered","1","False","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.EdgeZones","NotRegistered","2","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Microsoft.Elastic","NotRegistered","11","False","yes","no","yes","yes","no","yes","no","yes","no","no","no","yes","no","no","no","no","no","yes","no","no"
"Microsoft.ElasticSan","NotRegistered","5","False","yes","no","no","yes","no","yes","no","no","no","yes","no","yes","no","no","yes","yes","no","yes","no","yes"
"Microsoft.EnterpriseSupport","NotRegistered","5","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.EntitlementManagement","NotRegistered","1","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.EntraIDGovernance","NotRegistered","3","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.EntraIdGovernanceAccelerator","NotRegistered","1","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.EventGrid","Registered","27","False","yes","no","yes","yes","no","yes","no","yes","no","yes","no","yes","no","no","yes","yes","no","yes","no","yes"
"Microsoft.EventHub","Registered","26","False","yes","no","yes","yes","no","yes","no","yes","no","yes","no","yes","no","no","yes","yes","no","yes","no","yes"
"Microsoft.Experimentation","NotRegistered","1","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Microsoft.ExtendedLocation","NotRegistered","8","False","yes","no","no","yes","no","yes","no","no","no","yes","no","yes","no","no","yes","yes","no","yes","no","yes"
"Microsoft.Fabric","NotRegistered","10","False","yes","no","no","yes","no","yes","no","no","no","yes","no","yes","no","no","yes","yes","no","yes","no","yes"
"Microsoft.Falcon","NotRegistered","6","False","no","no","no","no","no","yes","no","no","no","yes","no","no","no","no","no","yes","no","yes","no","no"
"Microsoft.Features","Registered","7","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Microsoft.FileShares","NotRegistered","11","False","no","no","yes","yes","no","no","no","yes","no","yes","no","yes","no","no","no","yes","no","no","no","no"
"Microsoft.FluidRelay","NotRegistered","7","False","yes","no","no","yes","no","yes","no","no","no","no","no","yes","no","no","no","no","no","yes","no","yes"
"Microsoft.GCPConnector","NotRegistered","10","False","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no"
"Microsoft.Genome","NotRegistered","4","False","yes","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","yes","no","no","no","yes"
"Microsoft.GraphServices","NotRegistered","5","False","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.GuestConfiguration","Registered","2","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Microsoft.HanaOnAzure","NotRegistered","5","False","no","no","no","yes","no","no","no","no","no","no","no","yes","no","no","no","no","no","yes","no","no"
"Microsoft.Hardware","NotRegistered","6","False","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","yes","yes","no","yes","no","no"
"Microsoft.HardwareSecurityModules","NotRegistered","4","False","yes","no","no","yes","no","yes","no","no","no","no","no","yes","no","no","yes","yes","no","yes","no","yes"
"Microsoft.HDInsight","Registered","13","False","yes","no","no","yes","no","yes","no","yes","no","yes","no","yes","no","no","yes","yes","no","yes","no","yes"
"Microsoft.HealthBot","NotRegistered","4","False","no","no","no","yes","no","yes","no","yes","no","no","no","yes","no","no","yes","no","no","yes","no","no"
"Microsoft.HealthcareApis","Registered","18","False","no","no","no","yes","no","yes","no","no","no","yes","no","yes","no","no","yes","no","no","yes","no","yes"
"Microsoft.HealthcareInterop","NotRegistered","1","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Microsoft.HealthDataAIServices","NotRegistered","6","False","yes","no","no","yes","no","yes","no","no","no","no","no","yes","no","no","no","no","no","yes","no","yes"
"Microsoft.HealthModel","NotRegistered","1","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Microsoft.HealthPlatform","NotRegistered","1","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","yes"
"Microsoft.Help","NotRegistered","13","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Microsoft.HorizonDB","NotRegistered","8","False","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","yes"
"Microsoft.HybridCloud","NotRegistered","2","False","yes","no","no","yes","no","yes","no","no","no","no","no","yes","no","no","yes","yes","no","yes","no","yes"
"Microsoft.HybridCompute","NotRegistered","34","False","yes","no","yes","yes","no","yes","no","yes","no","yes","no","yes","no","no","yes","yes","no","yes","no","yes"
"Microsoft.HybridConnectivity","NotRegistered","9","False","yes","no","no","yes","no","yes","no","no","no","yes","no","yes","no","no","yes","yes","no","yes","no","yes"
