"RegionName","DisplayName","Physical","RegionCategory","PairedWith","CoveragePercent","TypesCovered","TypesMissing","InstancesMissing","TypesUnknown","MissingTypesList","UnknownTypesList","IsSource"
"centralus","Central US","Iowa","Recommended","eastus2","98.1","53","1","2","0","microsoft.communication/communicationservices (2)","","False"
"eastus2","East US 2","Virginia","Other","centralus","98.1","53","1","2","0","microsoft.communication/communicationservices (2)","","False"
"westus2","West US 2","Washington","Recommended","westcentralus","96.3","52","2","5","0","microsoft.network/frontdoors (3); microsoft.communication/communicationservices (2)","","False"
"eastus","East US","Virginia","Recommended","westus","96.3","52","2","20","0","microsoft.web/staticsites (18); microsoft.communication/communicationservices (2)","","True"
"southcentralus","South Central US","Texas","Other","northcentralus","96.3","52","2","20","0","microsoft.web/staticsites (18); microsoft.communication/communicationservices (2)","","False"
"westus","West US","California","Other","eastus","96.3","52","2","20","0","microsoft.web/staticsites (18); microsoft.communication/communicationservices (2)","","False"
"westus3","West US 3","Phoenix","Other","eastus","94.4","51","3","23","0","microsoft.web/staticsites (18); microsoft.network/frontdoors (3); microsoft.communication/communicationservices (2)","","False"
"northcentralus","North Central US","Illinois","Other","southcentralus","92.6","50","4","25","0","microsoft.web/staticsites (18); microsoft.monitor/accounts (3); microsoft.dashboard/grafana (2); microsoft.communication/communicationservices (2)","","False"
"westcentralus","West Central US","Wyoming","Other","westus2","92.6","50","4","61","0","microsoft.insights/components (38); microsoft.web/staticsites (18); microsoft.network/frontdoors (3); microsoft.communication/communicationservices (2)","","False"
